temperature_moyenne,nb_lost_item
-9.350000000000001,8
-8.075,1
-8.0,4
-7.9625,6
-7.799999999999999,8
-7.2375,9
-7.200000000000001,9
-6.875000000000002,5
-6.4625,10
-6.4624999999999995,3
-6.4125000000000005,6
-6.3500000000000005,12
-6.324999999999999,15
-6.3,1
-6.2625,3
-6.25,6
-6.2250000000000005,11
-6.125000000000001,5
-6.074999999999999,18
-6.0125,1
-6.0,9
-5.9750000000000005,4
-5.9125,17
-5.750000000000001,10
-5.737500000000001,2
-5.7250000000000005,8
-5.7125,1
-5.7,1
-5.675000000000001,15
-5.6625000000000005,13
-5.5375,1
-5.4375,2
-5.375000000000001,5
-5.2875000000000005,2
-5.275,7
-5.2625,1
-5.2125,15
-5.2124999999999995,2
-5.2,4
-5.1499999999999995,14
-5.1375,4
-5.1000000000000005,13
-5.1,5
-5.0875,11
-5.075,3
-5.025,12
-5.0249999999999995,6
-4.9625,21
-4.8374999999999995,3
-4.775,7
-4.699999999999999,2
-4.675,9
-4.65,14
-4.612500000000001,1
-4.5875,2
-4.5874999999999995,2
-4.575,4
-4.5625,3
-4.512499999999999,1
-4.499999999999999,1
-4.4625,8
-4.449999999999999,1
-4.4375,1
-4.425000000000001,1
-4.4125000000000005,7
-4.3999999999999995,2
-4.3375,1
-4.3125,4
-4.300000000000001,3
-4.262499999999999,19
-4.249999999999999,5
-4.225,8
-4.2125,10
-4.2,14
-4.1875,2
-4.175,2
-4.15,6
-4.1125,18
-4.0875,3
-4.0625,8
-4.0375,7
-4.0,10
-3.9875,3
-3.95,13
-3.9375,4
-3.9000000000000004,3
-3.849999999999999,4
-3.8375,4
-3.8285714285714283,4
-3.825,3
-3.8125,12
-3.7750000000000004,1
-3.775,4
-3.75,3
-3.7375,20
-3.6875,33
-3.6750000000000003,1
-3.675,2
-3.6624999999999996,3
-3.65,37
-3.6375000000000006,1
-3.6285714285714286,1
-3.625,1
-3.5999999999999996,1
-3.5875,2
-3.5874999999999995,1
-3.5625,3
-3.5624999999999996,20
-3.55,5
-3.5375000000000005,25
-3.5250000000000004,6
-3.525,4
-3.5249999999999995,7
-3.5125,20
-3.475,15
-3.4499999999999997,5
-3.425,2
-3.4142857142857146,9
-3.4125000000000005,6
-3.4124999999999996,2
-3.4,11
-3.3750000000000004,2
-3.375,13
-3.3625000000000003,16
-3.3499999999999996,5
-3.3375,1
-3.3249999999999997,7
-3.3,2
-3.2874999999999996,6
-3.275,11
-3.2625,1
-3.2499999999999996,2
-3.2375000000000007,3
-3.2,1
-3.1874999999999996,1
-3.166666666666666,4
-3.1625,2
-3.15,3
-3.1250000000000004,3
-3.125,13
-3.1125000000000003,1
-3.1125,4
-3.1,8
-3.075,1
-3.0625,2
-3.0500000000000003,1
-3.05,1
-3.0499999999999994,13
-3.025,12
-3.0125,1
-2.9875,2
-2.9857142857142853,1
-2.9625,1
-2.9375000000000004,18
-2.9375,3
-2.9374999999999996,1
-2.925,6
-2.9125,4
-2.9,8
-2.8875,7
-2.8625,2
-2.8624999999999994,4
-2.85,10
-2.8375,8
-2.8374999999999995,2
-2.8249999999999997,7
-2.8125,19
-2.7875000000000005,1
-2.7875,10
-2.7750000000000004,6
-2.757142857142857,1
-2.75,5
-2.7375000000000003,6
-2.725,7
-2.7249999999999996,3
-2.6999999999999997,1
-2.675,2
-2.6624999999999996,1
-2.6500000000000004,6
-2.65,11
-2.6374999999999997,4
-2.625,17
-2.6125000000000003,1
-2.6125,5
-2.5875000000000004,9
-2.5749999999999997,2
-2.5625000000000004,2
-2.5625,4
-2.5500000000000003,5
-2.55,21
-2.5250000000000004,3
-2.5125,7
-2.5,27
-2.4875000000000003,11
-2.4875,1
-2.4625000000000004,8
-2.4499999999999997,20
-2.425,3
-2.4125,14
-2.4000000000000004,19
-2.3999999999999995,15
-2.3875,5
-2.375,12
-2.3625000000000003,17
-2.3625,16
-2.357142857142857,1
-2.3375000000000004,1
-2.3375,3
-2.325,3
-2.3124999999999996,8
-2.2875,1
-2.2625,22
-2.2624999999999997,10
-2.257142857142857,5
-2.2500000000000004,8
-2.25,14
